no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"125","Shau Kei Wan Multi-storey Car Park","22.2789058685303","114.229499816895","Standard;SemiQuick","Hong Kong Island","Eastern","16 Mong Lung Street, Shau Kei Wan","Others","","",0
"126","Cheung Sha Wan Government Offices","22.3320446014404","114.160491943359","Standard;SemiQuick","Kowloon","Sham Shui Po","303 Cheung Sha Wan Road","Others","","",0
"127","Yau Ma Tei Car Park","22.3092842102051","114.170700073242","Standard;SemiQuick","Kowloon","Yau Tsim Mong","58 Temple Street, Yau Ma Tei","Others","","",0
"128","Sha Tin Government Offices","22.3859195709229","114.18724822998","Standard;SemiQuick","New Territories","Shatin","1 Sheung Wo Che Road, Shatin","Others","","",0
"129","Whampoa Plaza","22.3045139312744","114.190353393555","Standard","Kowloon","Kowloon City","7 Tak On Street, Hung Hom","Others","","",0
"130","Ka Wai Chuen","22.3075923919678","114.186309814453","Standard","Kowloon","Kowloon City","10 Station Lane, Ma Tau Wai Road, Hung Hom","Others","","",0
"131","Remington Centre","22.3131122589111","114.219635009766","Standard","Kowloon","Kwun Tong","23 Hung To Road, Kwun Tong","Others","","",0
"132","Shui On Centre","22.2804565429688","114.171325683594","SemiQuick","Hong Kong Island","Wan Chai","8 Harbour Road, Wan Chai","Others","","",0
"133","AIA Tower","22.2881488800049","114.192230224609","Standard","Hong Kong Island","Eastern","28 Wang On Road, Causeway Bay","Others","","",0
"134","Paradise Mall (West)","22.2780895233154","114.239112854004","Standard","Hong Kong Island","Eastern","100 Sing Tai Road, Chai Wan","Others","","",0
"135","Lai Tak Tsuen","22.2783584594727","114.194046020508","Standard","Hong Kong Island","Eastern","16 Lai Tak Tsuen Road, Tai Hang","Others","","",0
"136","Mei Tin Estate","22.3762607574463","114.171104431152","Standard","New Territories","Shatin","Heung Fan Liu Street, Tai Wai","Others","","",0
"137","Ma On Shan Centre","22.4263782501221","114.233116149902","Standard","New Territories","Shatin","1 On Chun Street, Ma On Shan","Others","","",0
"138","New Town Plaza III","22.3800792694092","114.18709564209","Standard","New Territories","Shatin","9 Shatin Centre Street, Shatin","Others","","",0
"139","New Town Plaza I","22.382194519043","114.188804626465","Standard","New Territories","Shatin","18 Shatin Centre Street, Shatin","Others","","",0
